srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,imageUrl,imageName/Description
11,ConstructionClosure-8aebad2f-eb57-4787-96a2-d499053bd950,5dc47320170a5700464240b1,jpruitt@navjoyinc.com.gwv,2019-11-07T19:40:16.926Z,djoslin@navjoyinc.com.gwv,2019-11-25T23:41:47.283Z,Steele St.,Albion St,Belleview Ave,,,,,,11/7/2019 11:00,11/7/2019 17:00,,
12,ConstructionClosure-586e1fe2-4ba6-4981-beb6-4b6ec54bc9b9,5dc59a07170a570046424235,jpruitt@navjoyinc.com.gwv,2019-11-08T16:38:31.939Z,djoslin@navjoyinc.com.gwv,2019-11-25T23:43:20.916Z,Albion St,Steele St,Belleview Ave,,,,,,11/8/2019 11:00,11/8/2019 17:00,,
13,ConstructionClosure-168ca964-3739-449b-9978-10b6af7640fc,5dd819b0ed4f4f00511801db,wfairbank@navjoyinc.com.gwv,2019-11-22T17:24:00.916Z,djoslin@navjoyinc.com.gwv,2019-11-29T23:31:54.820Z,Glenmoor Dr,Steele St,Belleveiw Ave,,,11/20/2019 11:00,11/20/2019 17:00,,11/13/2019 11:00,11/13/2019 17:00,,
14,ConstructionClosure-67d6818e-0b9a-4361-8e90-f1d7619cc071,5ddc089d1dacbb00464b5ff2,mevans@navjoyinc.com.gwv,2019-11-25T17:00:13.078Z,jvue@navjoyinc.com.gwv,2019-12-16T16:06:57.865Z,Fairfax St,Birch St,Belleview Ave,,,,,,11/25/2019 11:00,11/25/2019 17:00,,
15,ConstructionClosure-26ae1dc8-daea-4bf2-8a57-8f295e0dc592,5ddc656d03327d00510d4446,djoslin@navjoyinc.com.gwv,2019-11-25T23:36:13.758Z,djoslin@navjoyinc.com.gwv,2019-11-25T23:36:13.758Z,Steele St.,University Blvd.,Belleview Ave.,,,11/18/2019 2:00,11/18/2019 2:00,,11/18/2019 11:00,11/18/2019 17:00,,
16,ConstructionClosure-9c4d2657-a43e-44bb-8a3b-5a6be392d93e,5ddc65fc03327d00510d4447,djoslin@navjoyinc.com.gwv,2019-11-25T23:38:36.290Z,djoslin@navjoyinc.com.gwv,2019-11-25T23:38:36.290Z,Steele St.,University Blvd.,Belleview Ave.,,,11/19/2019 2:00,11/19/2019 2:00,,11/19/2019 11:00,11/19/2019 17:00,,
17,ConstructionClosure-66bef727-73de-4e12-a462-0854516dbc2b,5ddc678f03327d00510d4448,djoslin@navjoyinc.com.gwv,2019-11-25T23:45:19.058Z,jvue@navjoyinc.com.gwv,2019-12-16T16:08:02.166Z,Birch St,Fairfax St,Belleview Ave,,,11/26/2019 11:00,11/26/2019 17:00,,11/26/2019 11:00,11/26/2019 17:00,,
18,ConstructionClosure-7bdc8031-c5ee-49c7-b241-9afc84495ad3,5ddc67bb03327d00510d4449,djoslin@navjoyinc.com.gwv,2019-11-25T23:46:03.305Z,jvue@navjoyinc.com.gwv,2019-12-16T16:07:41.957Z,Fairfax St,Birch St,Belleview Ave,,,11/26/2019 11:00,11/26/2019 17:00,,11/26/2019 11:00,11/26/2019 17:00,,
19,ConstructionClosure-3c31845a-8df1-4bf8-b511-6cfc41225446,5ddc67e003327d00510d444a,djoslin@navjoyinc.com.gwv,2019-11-25T23:46:40.761Z,jvue@navjoyinc.com.gwv,2019-12-16T16:07:20.683Z,Birch St,Fairfax St,Belleview Ave,,,11/27/2019 11:00,11/27/2019 17:00,,11/27/2019 11:00,11/27/2019 17:00,,
20,ConstructionClosure-e5cb42a7-1259-4b9a-9cca-3e191fa57212,5ddc682803327d00510d444b,djoslin@navjoyinc.com.gwv,2019-11-25T23:47:52.461Z,jvue@navjoyinc.com.gwv,2019-12-16T16:06:15.287Z,Fairfax St,Birch St,Belleview Ave.,,,11/27/2019 11:00,11/27/2019 17:00,,11/27/2019 11:00,11/27/2019 17:00,,
21,ConstructionClosure-d5aa59ea-4fcf-4cca-806a-aff6b517b97f,5ddea7ae03327d00510d4488,nnageli@navjoyinc.com.cdotgov,2019-11-27T16:43:26.446Z,nnageli@navjoyinc.com.cdotgov,2019-11-27T16:43:26.446Z,,,,,,,,,,,,
22,ConstructionClosure-cab7ee96-bbe9-4248-b488-35c2c035ed3c,5de1a819390fd4003be79a5d,djoslin@navjoyinc.com.gwv,2019-11-29T23:22:01.387Z,jvue@navjoyinc.com.gwv,2019-12-16T16:05:55.885Z,Birch St,Fairfax St,Belleview Ave,,,12/2/2019 11:00,12/2/2019 17:00,,11/27/2019 11:00,11/27/2019 17:00,,
23,ConstructionClosure-c77bad8b-52ec-4d91-a349-b9969f0a11da,5de1a831390fd4003be79a5e,djoslin@navjoyinc.com.gwv,2019-11-29T23:22:25.747Z,jvue@navjoyinc.com.gwv,2019-12-16T16:05:36.090Z,Fairfax St,Birch St,Belleview Ave,,,12/2/2019 11:00,12/2/2019 17:00,,11/27/2019 11:00,11/27/2019 17:00,,
24,ConstructionClosure-d882d23e-a10d-4b21-8ddb-e3f9b2cf0c91,5de1aba1390fd4003be79a5f,djoslin@navjoyinc.com.gwv,2019-11-29T23:37:05.602Z,djoslin@navjoyinc.com.gwv,2019-11-29T23:37:05.602Z,Steele St,Glenmoor Dr,Belleview Ave,,,11/21/2019 11:00,11/21/2019 17:00,,11/13/2019 11:00,11/13/2019 17:00,,
25,ConstructionClosure-739050d2-f9bd-455b-b8cd-5d0aca93d530,5de1abcc390fd4003be79a60,djoslin@navjoyinc.com.gwv,2019-11-29T23:37:48.055Z,djoslin@navjoyinc.com.gwv,2019-11-29T23:37:48.055Z,Glenmoor Dr,Steele St,Belleveiw Ave,,,11/21/2019 11:00,11/21/2019 17:00,,11/13/2019 11:00,11/13/2019 17:00,,
26,ConstructionClosure-b675a5df-ae8f-4d29-9253-23962f37feb7,5de1abe6390fd4003be79a61,djoslin@navjoyinc.com.gwv,2019-11-29T23:38:14.224Z,djoslin@navjoyinc.com.gwv,2019-11-29T23:38:14.224Z,Steele St,Glenmoor Dr,Belleview Ave,,,11/22/2019 11:00,11/22/2019 17:00,,11/13/2019 11:00,11/13/2019 17:00,,
27,ConstructionClosure-e6afce9b-b90c-40cc-ac1f-78a928c62c1f,5de1abf8390fd4003be79a62,djoslin@navjoyinc.com.gwv,2019-11-29T23:38:32.579Z,djoslin@navjoyinc.com.gwv,2019-11-29T23:38:32.579Z,Glenmoor Dr,Steele St,Belleveiw Ave,,,11/22/2019 11:00,11/22/2019 17:00,,11/13/2019 11:00,11/13/2019 17:00,,
28,ConstructionClosure-bd6a8e16-98ed-43a4-93a9-5953f305e127,5de693e18668f6003b0241ce,mevans@navjoyinc.com.gwv,2019-12-03T16:57:05.649Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:59.997Z,Birch St,Holly St,Belleview Ave.,,,12/3/2019 11:00,12/3/2019 17:00,,,,,
29,ConstructionClosure-eebbe84d-ed74-49ae-b12a-9bf67b1cd687,5de7ccb934724f003b4d3eb2,djoslin@navjoyinc.com.gwv,2019-12-04T15:11:53.270Z,djoslin@navjoyinc.com.gwv,2019-12-04T15:11:53.270Z,Holly St.,S. Birch St.,Belleview Ave.,,,12/3/2019 11:00,12/3/2019 17:00,,,,,
30,ConstructionClosure-1acedeaf-65c2-4b6a-ac84-91b839c5fc53,5de7dfcb34724f003b4d3eb3,wfairbank@navjoyinc.com.gwv,2019-12-04T16:33:15.000Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:06.709Z,Dahlia St,Holly St,Belleview Ave,,,12/4/2019 11:00,12/4/2019 17:00,,,,,
31,ConstructionClosure-b22fea57-91ab-4ec7-b455-fb09ddc60982,5de9332c34724f003b4d3ef9,jcook@navjoyinc.com.gwv,2019-12-05T16:41:16.535Z,jcook@navjoyinc.com.gwv,2019-12-05T17:36:59.759Z,Holly st,Dahlia,Belleview Ave,,,12/5/2019 11:00,12/5/2019 17:00,,,,,
32,ConstructionClosure-896c7fe1-f08b-4a26-aa36-3e186ccedeeb,5de93d5c34724f003b4d3efa,jcook@navjoyinc.com.gwv,2019-12-05T17:24:44.820Z,jvue@navjoyinc.com.gwv,2019-12-10T22:24:40.587Z,Dahlia,Holly,Belleview Ave,,,12/5/2019 11:00,12/5/2019 17:00,,,,,
33,ConstructionClosure-e67e222c-c6ba-4513-adbd-67098d7d50f6,5dea781c34724f003b4d3f3e,jcook@navjoyinc.com.gwv,2019-12-06T15:47:40.363Z,jcook@navjoyinc.com.gwv,2019-12-06T22:14:15.090Z,Holly st,Dahlia,Belleview Ave,,,12/6/2019 11:00,12/6/2019 17:00,,,,,
34,ConstructionClosure-5c98dfe7-e691-4b3e-ab98-8cdb3a4f0f26,5dea784e34724f003b4d3f3f,jcook@navjoyinc.com.gwv,2019-12-06T15:48:30.730Z,jvue@navjoyinc.com.gwv,2019-12-11T20:15:29.412Z,Dahlia,Holly,Belleview Ave,,,12/6/2019 11:00,12/6/2019 17:00,,,,,
35,ConstructionClosure-069ea9bd-3a3a-4847-b3cc-d471c5e1b35d,5deadf8534724f003b4d3f55,jvue@navjoyinc.com.gwv,2019-12-06T23:08:53.397Z,mevans@navjoyinc.com.gwv,2019-12-09T21:56:52.223Z,Monaco St.,Holly St.,Belleview Ave,,,12/9/2019 11:00,12/9/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/ac9493b9-e38f-4f6c-9345-52870c6646f9image.jpg,Monaco to Holly / Westbound
36,ConstructionClosure-d8458581-07fe-4bbb-8250-76d668fe3d12,5deadfca34724f003b4d3f56,jvue@navjoyinc.com.gwv,2019-12-06T23:10:02.555Z,mevans@navjoyinc.com.gwv,2019-12-09T21:52:44.276Z,Holly St.,Monaco St.,Belleview Ave,,,12/9/2019 11:00,12/9/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/f803e3d7-dd8c-4bb1-b302-64c1212fb754image.jpg,Holly to Monaco / Eastbound
37,ConstructionClosure-56be41e9-28c4-43e4-be04-7898e5e35321,5dee8dce34724f003b4d3f58,mevans@navjoyinc.com.gwv,2019-12-09T18:09:18.887Z,jvue@navjoyinc.com.gwv,2019-12-10T22:23:58.890Z,Monaco St.,Holly St.,Belleview Ave,,,12/10/2019 11:00,12/10/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/22a80d43-f37d-44a8-809c-1e85b018b94aimage.jpg,Monaco to Holly St / Westbound
38,ConstructionClosure-1d7439f6-97e1-48f9-84e0-59570a120f09,5dee8e0934724f003b4d3f59,mevans@navjoyinc.com.gwv,2019-12-09T18:10:17.980Z,jvue@navjoyinc.com.gwv,2019-12-10T22:24:12.006Z,Holly St.,Monaco St.,Belleview Ave,,,12/10/2019 11:00,12/10/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/fcc31f34-2960-4078-b4e4-d21c5b7f5358image.jpg,Holly to Monaco St / Eastbound
39,ConstructionClosure-25946c04-d4d9-497a-805f-4a897a2f8a86,5defff0734724f003b4d3f90,mevans@navjoyinc.com.gwv,2019-12-10T20:24:39.279Z,jvue@navjoyinc.com.gwv,2019-12-16T16:03:15.566Z,Holly St,Charington Dr,Belleview Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/7dece7b8-f968-487e-b043-7d7acd8b96eb20191211_093718%20-%20Copy.jpg,East Bound / Arrow Flash Board
39,ConstructionClosure-25946c04-d4d9-497a-805f-4a897a2f8a86,5defff0734724f003b4d3f90,mevans@navjoyinc.com.gwv,2019-12-10T20:24:39.279Z,jvue@navjoyinc.com.gwv,2019-12-16T16:03:15.566Z,Holly St,Charington Dr,Belleview Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/1e0419b0-44b4-4206-b106-0e496987497220191211_093557%20-%20Copy.jpg,East Bound / Lane Ends Left
40,ConstructionClosure-b9f88a98-a680-4bad-8a88-e849026dc5e8,5defff4234724f003b4d3f91,mevans@navjoyinc.com.gwv,2019-12-10T20:25:38.633Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:25.146Z,Charington Dr,Holly St,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/7b5273e1-dd7e-4f62-942d-49bcc34f560a20191211_093837%20-%20Copy.jpg,West Bound / Start of Closure
40,ConstructionClosure-b9f88a98-a680-4bad-8a88-e849026dc5e8,5defff4234724f003b4d3f91,mevans@navjoyinc.com.gwv,2019-12-10T20:25:38.633Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:25.146Z,Charington Dr,Holly St,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/8a8f4722-efa6-4d27-9d2e-4580eb42a94120191211_093842%20-%20Copy.jpg,West Bound / Left Lane Closed Ahead
40,ConstructionClosure-b9f88a98-a680-4bad-8a88-e849026dc5e8,5defff4234724f003b4d3f91,mevans@navjoyinc.com.gwv,2019-12-10T20:25:38.633Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:25.146Z,Charington Dr,Holly St,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/af570da1-fc26-462b-a402-7775fae6448e20191211_094111%20-%20Copy.jpg,West Bound / Road Work Ahead
40,ConstructionClosure-b9f88a98-a680-4bad-8a88-e849026dc5e8,5defff4234724f003b4d3f91,mevans@navjoyinc.com.gwv,2019-12-10T20:25:38.633Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:25.146Z,Charington Dr,Holly St,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/05b152bd-b554-4fda-94d7-4d063b359ead20191211_094126%280%29%20-%20Copy.jpg,West Bound / Left Lane Ends
40,ConstructionClosure-b9f88a98-a680-4bad-8a88-e849026dc5e8,5defff4234724f003b4d3f91,mevans@navjoyinc.com.gwv,2019-12-10T20:25:38.633Z,jvue@navjoyinc.com.gwv,2019-12-16T16:04:25.146Z,Charington Dr,Holly St,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/57a2ba8b-4d25-42aa-b542-904bdd8f7e4d20191211_094154%20-%20Copy.jpg,West Bound / Flash Arrow Board
41,ConstructionClosure-cc942c56-98b1-4ab5-b549-3470c7c0604b,5df114f41eca6600515d5b21,wfairbank@navjoyinc.com.gwv,2019-12-11T16:10:28.864Z,jvue@navjoyinc.com.gwv,2019-12-16T16:02:47.842Z,Steele St,University Blvd,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/cb6baff5-55ef-4c58-ac1c-73d5be0f249920191211_113512%20-%20Copy.jpg,West Bound / Road Work Ahead
41,ConstructionClosure-cc942c56-98b1-4ab5-b549-3470c7c0604b,5df114f41eca6600515d5b21,wfairbank@navjoyinc.com.gwv,2019-12-11T16:10:28.864Z,jvue@navjoyinc.com.gwv,2019-12-16T16:02:47.842Z,Steele St,University Blvd,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/22f40d87-0298-467e-87cd-e6f75150a68a20191211_113534%20-%20Copy.jpg,West Bound / Flash Arrow Board
41,ConstructionClosure-cc942c56-98b1-4ab5-b549-3470c7c0604b,5df114f41eca6600515d5b21,wfairbank@navjoyinc.com.gwv,2019-12-11T16:10:28.864Z,jvue@navjoyinc.com.gwv,2019-12-16T16:02:47.842Z,Steele St,University Blvd,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/26b9f088-153e-4855-b59d-38c3a0513e7920191211_113824%20-%20Copy.jpg,West Bound / Road Work Ahead
41,ConstructionClosure-cc942c56-98b1-4ab5-b549-3470c7c0604b,5df114f41eca6600515d5b21,wfairbank@navjoyinc.com.gwv,2019-12-11T16:10:28.864Z,jvue@navjoyinc.com.gwv,2019-12-16T16:02:47.842Z,Steele St,University Blvd,Belleveiw Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/27f1e226-7920-4f62-a8ab-8523ce1b08b520191211_113830%20-%20Copy.jpg,West Bound / Left Lane Closed Ahead
42,ConstructionClosure-67e27ead-74d2-4ec4-a1b7-abdba3503085,5df115391eca6600515d5b22,wfairbank@navjoyinc.com.gwv,2019-12-11T16:11:37.877Z,jvue@navjoyinc.com.gwv,2019-12-17T15:57:22.145Z,University Blvd,Steele St,Belleview Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/2052a2c6-e8f1-4fb1-b637-e5d948de5ff820191211_114138%20-%20Copy.jpg,East Bound / End of Closure
42,ConstructionClosure-67e27ead-74d2-4ec4-a1b7-abdba3503085,5df115391eca6600515d5b22,wfairbank@navjoyinc.com.gwv,2019-12-11T16:11:37.877Z,jvue@navjoyinc.com.gwv,2019-12-17T15:57:22.145Z,University Blvd,Steele St,Belleview Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/838b211e-71bd-4d0c-aa6a-51cdb7ea9e0020191211_114126%20-%20Copy.jpg,East Bound / Flash Arrow Board
42,ConstructionClosure-67e27ead-74d2-4ec4-a1b7-abdba3503085,5df115391eca6600515d5b22,wfairbank@navjoyinc.com.gwv,2019-12-11T16:11:37.877Z,jvue@navjoyinc.com.gwv,2019-12-17T15:57:22.145Z,University Blvd,Steele St,Belleview Ave,,,12/11/2019 11:00,12/11/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/716616e2-29b7-427c-baf5-7e1ac72254fb20191211_114119%20-%20Copy.jpg,East Bound / Lane Ends Left
43,ConstructionClosure-7da77cc8-51b5-482b-9a8a-c815b7c0a976,5df13d8cae3ad30046e4d6f3,wfairbank@navjoyinc.com.gwv,2019-12-11T19:03:40.221Z,jvue@navjoyinc.com.gwv,2019-12-17T15:42:42.366Z,Steele St,University Blvd,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/d64cdb1c-0ff9-4117-84bf-4bd017fe1340image.jpg,Westbound / Roadwork ahead
43,ConstructionClosure-7da77cc8-51b5-482b-9a8a-c815b7c0a976,5df13d8cae3ad30046e4d6f3,wfairbank@navjoyinc.com.gwv,2019-12-11T19:03:40.221Z,jvue@navjoyinc.com.gwv,2019-12-17T15:42:42.366Z,Steele St,University Blvd,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/3163ffc1-8be7-4006-81a8-64bceb141612image.jpg,Westbound / Left lane closed ahead
43,ConstructionClosure-7da77cc8-51b5-482b-9a8a-c815b7c0a976,5df13d8cae3ad30046e4d6f3,wfairbank@navjoyinc.com.gwv,2019-12-11T19:03:40.221Z,jvue@navjoyinc.com.gwv,2019-12-17T15:42:42.366Z,Steele St,University Blvd,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/c8259e4a-2879-4ff8-8e3c-2bc4014db444image.jpg,Westbound / Lane ends left
43,ConstructionClosure-7da77cc8-51b5-482b-9a8a-c815b7c0a976,5df13d8cae3ad30046e4d6f3,wfairbank@navjoyinc.com.gwv,2019-12-11T19:03:40.221Z,jvue@navjoyinc.com.gwv,2019-12-17T15:42:42.366Z,Steele St,University Blvd,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/6231a330-5218-4acc-b2a8-aad11a25b944image.jpg,Westbound / Start of closure
43,ConstructionClosure-7da77cc8-51b5-482b-9a8a-c815b7c0a976,5df13d8cae3ad30046e4d6f3,wfairbank@navjoyinc.com.gwv,2019-12-11T19:03:40.221Z,jvue@navjoyinc.com.gwv,2019-12-17T15:42:42.366Z,Steele St,University Blvd,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/89c70b6c-811c-4a1c-9a6a-35d045f0f629image.jpg,Westbound / Flashing arrow bar
43,ConstructionClosure-7da77cc8-51b5-482b-9a8a-c815b7c0a976,5df13d8cae3ad30046e4d6f3,wfairbank@navjoyinc.com.gwv,2019-12-11T19:03:40.221Z,jvue@navjoyinc.com.gwv,2019-12-17T15:42:42.366Z,Steele St,University Blvd,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/ad990402-c318-480d-b34a-eef622d6d24dimage.jpg,Westbound / End of closure
44,ConstructionClosure-865cccfa-b8a8-48db-a6ec-4c9750e33ac4,5df266edc27de90046045c01,jpruitt@navjoyinc.com.gwv,2019-12-12T16:12:29.175Z,jvue@navjoyinc.com.gwv,2019-12-16T16:01:01.390Z,Monaco St,Holly St,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/abca6ef2-85e4-453f-a2e7-581afb5a8fbfimage.jpg,West / Lane ends left
44,ConstructionClosure-865cccfa-b8a8-48db-a6ec-4c9750e33ac4,5df266edc27de90046045c01,jpruitt@navjoyinc.com.gwv,2019-12-12T16:12:29.175Z,jvue@navjoyinc.com.gwv,2019-12-16T16:01:01.390Z,Monaco St,Holly St,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/c3a73fa9-c1d9-40cf-b94a-f08d0b07dc9dimage.jpg,Westbound / Start of closure
44,ConstructionClosure-865cccfa-b8a8-48db-a6ec-4c9750e33ac4,5df266edc27de90046045c01,jpruitt@navjoyinc.com.gwv,2019-12-12T16:12:29.175Z,jvue@navjoyinc.com.gwv,2019-12-16T16:01:01.390Z,Monaco St,Holly St,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/aceccfbe-0c22-4ac4-afd4-2cc04e36614cimage.jpg,Westbound / End of closure
44,ConstructionClosure-865cccfa-b8a8-48db-a6ec-4c9750e33ac4,5df266edc27de90046045c01,jpruitt@navjoyinc.com.gwv,2019-12-12T16:12:29.175Z,jvue@navjoyinc.com.gwv,2019-12-16T16:01:01.390Z,Monaco St,Holly St,Belleview Ave,,,12/12/2019 11:00,12/12/2019 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/12136810-fe3f-40f5-a74b-96e072a7a588flashing%20arrow%20board.jpg,Westbound / Flashing arrow board
